tfidf,token
8.512139549513646,better service
8.799821621965428,bf
8.64567094213817,bhm
6.301121650045091,big
8.288995998199436,big thanks
8.288995998199436,biggest
8.193685818395112,bin
8.394356513857263,bins
7.7583677471372665,bird
8.64567094213817,birds
8.512139549513646,birmingham
7.125845188393756,birthday
7.259376581018278,bit
8.026631733731946,biz
8.106674441405481,black
7.883530890091272,blame
8.799821621965428,blamed
8.512139549513646,blaming
8.288995998199436,blog
6.741433489483423,blue
8.394356513857263,bluemanity
7.157593886708336,bna
5.900233208964338,board
8.512139549513646,board flight
8.193685818395112,board plane
6.741433489483423,boarded
5.409797540901397,boarding
8.193685818395112,boarding flight
6.9280194450638355,boarding pass
7.883530890091272,boarding passes
8.64567094213817,boarding plane
8.64567094213817,boarding position
8.799821621965428,boarding process
8.512139549513646,boarding time
8.026631733731946,boards
8.799821621965428,boat
8.512139549513646,bogota
8.288995998199436,bonus
8.799821621965428,boo
5.409797540901397,book
6.741433489483423,book flight
8.64567094213817,book flights
8.799821621965428,book new
8.394356513857263,book online
8.512139549513646,book ticket
8.799821621965428,book travel
5.404195285352727,booked
7.157593886708336,booked flight
8.394356513857263,booked flights
8.799821621965428,booked tickets
5.607974469485145,booking
5.628736460933575,booking problems
8.799821621965428,books
6.058981598040226,bos
8.64567094213817,bos gt
8.799821621965428,boss
6.114244276715276,boston
8.64567094213817,bostonlogan
7.547058653470059,bother
8.799821621965428,bothered
8.799821621965428,bottles
6.784918601423162,bought
8.799821621965428,bought ticket
8.64567094213817,bought tix
8.799821621965428,box
8.799821621965428,boy
8.288995998199436,boyfriend
8.026631733731946,brand
8.799821621965428,brandmance
7.7583677471372665,break
8.288995998199436,breakfast
8.799821621965428,breaking
8.799821621965428,bridge
8.64567094213817,brilliant
6.741433489483423,bring
7.818992368953701,bringing
7.595848817639491,broke
6.401926349167057,broken
7.818992368953701,brother
8.193685818395112,brought
8.512139549513646,brutal
7.372705266325282,bs
8.799821621965428,btv
7.295744225189153,btw
8.64567094213817,bucks
7.952523761578224,buf
7.818992368953701,buffalo
8.512139549513646,bug
8.394356513857263,bullshit
8.288995998199436,bummer
8.512139549513646,bump
7.333484553172,bumped
8.799821621965428,bumping
